name,type,value,date
2019年1月23日,我在皇宫当巨巨,2,第100
2009,青之驱魔师,3,第99
1996/7/1,游戏王,4,第98
2018,全职法师,5,第97
2008,滑头鬼之孙,6,第96
2011年,秒速5厘米,7,第95
2014,粗点心战争,8,第94
2019/2/28,因为我是开武器店的大叔,9,第93
2007-01-01,偷星九月天,10,第92
2019,我才不会被女孩子欺负呢,11,第91
2018/12/14,如果历史是一群喵,12,第90
2019年1月11日,好人与卡,13,第89
2019,Fate/Grand Order 命运——冠位指定 电击漫画短篇集,14,第88
2019,Fate/Grand Order 命运——冠位指定 COMIC à la carte,15,第87
2019年1月26日,我开动物园那些年,16,第86
2019,英雄?我早就不当了,17,第85
2015,黑色四叶草,18,第84
2012-07-01,排球少年!!,19,第83
2006年,妖精的尾巴,20,第82
2018,石纪元（Dr.Stone）,21,第81
2014年,恋爱禁止的世界,22,第80
2018年12月23日,嫁给一个死太监,23,第79
2018/11/15,驭灵师,24,第78
1984-07-01,龙珠,25,第77
2019,我的老婆是妲己,26,第76
2018年,勇者死了！因为勇者掉进了我这个村民挖的陷阱里。,27,第75
2018,我的老婆是伪娘,28,第74
1980,魔卡少女樱,29,第73
2004-07-01,家庭教师,30,第72
2018/12/14,大唐不断网,31,第71
2018年,名侦探柯南 犯人犯泽先生,32,第70
1996,犬夜叉（WIDE版）,33,第69
2019年,名侦探柯南,34,第68
2018年,化物语,35,第67
2019,妄想学生会,36,第66
2016,致不灭的你,37,第65
1998年,全职猎人,38,第64
2019,Back Street Girls后街女孩,39,第63
2018年,笨女孩,40,第62
2017-06-29,女子学院的男生,41,第61
2019,放开那个女巫,42,第60
2011,鬼灯的冷彻,43,第59
2014-12-19,凹凸世界,44,第58
2012,终结的炽天使,45,第57
2019年1月20日,为了让学姐鼓起干劲，我决定献出我自己,46,第56
2001-08-07,境·界（死神）,47,第55
2019年1月15日,百妖谱,48,第54
2018年,渡君的XX即将崩坏,49,第53
2011年5月号-2015年3月号,四月是你的谎言,50,第52
2019年,租借女友,51,第51
2017-04-19,很纯很暧昧,52,第50
2019年,机动奥特曼,53,第49
2011-11-07,伪恋,54,第48
2018-02-19,阴阳师官方漫画,55,第47
2015-07-01,镖人,56,第46
2019,欢迎来到实力至上主义的教室,57,第45
2017,魔卡少女樱CLEARCARD篇,58,第44
2004-04,银魂,59,第43
2010年,斗罗大陆,60,第42
2019年,文豪野犬,61,第41
1997年4月－连载中,精灵宝可梦,62,第40
2005,STEEL BALL RUN（乔乔的奇妙冒险第7部）,63,第39
2018年,总之就是非常可爱,64,第38
2001年,铳梦Last Order,65,第37
2017年,卫宫家今天的饭,66,第36
1999-07-01,火影忍者,67,第35
2014,擅长捉弄的高木同学,68,第34
2019,Fate/Grand Order-turas realta-,69,第33
2018,乔乔福音（乔乔的奇妙冒险第8部）,70,第32
2019,异常生物见闻录,71,第31
2019,徒然喜欢你,72,第30
2018,七人传奇,73,第29
2018,石之海（乔乔的奇妙冒险第6部）,74,第28
2018.7.2,战国千年,75,第27
2017-07-27,修真聊天群,76,第26
2013,我的青春恋爱物语果然有问题。,77,第25
2018-06-15,少女前线-人形之歌,78,第24
2015-06-20,崩坏3rd,79,第23
2015年,工作细胞,80,第22
2011,野良神,81,第21
2018,齐木楠雄的灾难,82,第20
2018,我家大师兄脑子有坑,83,第19
2014年,碧蓝之海,84,第18
2017年,我们无法一起学习,85,第17
2013年,干物妹！小埋,86,第16
1991年,铳梦,87,第15
2016,鬼灭之刃,88,第14
2012,食戟之灵,89,第13
2013-05-25,小林家的龙女仆,90,第12
2018/11/15,步天歌,91,第11
2016-08-21,非人哉,92,第10
2018,灵能百分百,93,第9
1987,乔乔的奇妙冒险（1-5部),94,第8
2019年,一拳超人,95,第7
1997-07-01,航海王,96,第6
2014,我的英雄学园,97,第5
2015年,关于我转生变成史莱姆这档事,98,第4
2016,约定的梦幻岛,99,第3
2015,辉夜大小姐想让我告白 ~天才们的恋爱头脑战~,100,第2
2017年,五等分的新娘,101,第1
