['昵称', '评论', '时间']
['萎靡丶笑看沉浮', '版权归作者所有，任何形式转载请联系作者。\r\n作者：ZS谬论（来自豆瓣）\r\n来源：https://movie.douban.com/review/10150773/\r\n\n\n       场面宏大，内心毫无波澜。\n\n       好奇洛基拿到魔方以后会怎样。说真的前几部已经忘光了。\n\n       群像的坏处在这里吧，我实话说是看到朋友微博发的美队盾牌强烈想看来着。不过想想这种片并不是我的菜啊。\n\n       最难过大概是锤神回到过去跟妈妈对话那里？他的逃避现实非常感染人。而且有一瞬间让我想起权游。美队回到过去的一支舞也很带感。', '2019-05-03 19:53:42']
['不长心的豆豆', '九头蛇万岁！', '2019-05-03 19:53:38']
['wTH342155159', '影院的眼镜看字幕有些模糊，但剧情不错', '2019-05-03 19:53:37']
['随性', '爱你三千遍，', '2019-05-03 19:53:36']
['sYf615968708', '舒服观影，不一样的体验', '2019-05-03 19:53:35']
['お王峰跃', '哭成了傻子，黑寡，美队，钢铁侠。虽然，，，，，，但，感谢漫威。通过电影，我，收获了如此大的动力。也祝愿今年6月13号的我的中考可以考好', '2019-05-03 19:53:34']
['UNJ704599288', '好好好好好好', '2019-05-03 19:53:33']
['AyJ692819041', '完美的结局！！', '2019-05-03 19:53:30']
['ZiE308508592', '不好看，看的好累', '2019-05-03 19:53:28']
['闻勇', '这部电影的科幻和结尾都十分完美，也有一些搞笑的地方。即使黑暗很强大，但是正义的英雄永远都会不惜一切去战斗，去阻止，我们也要为了正义一去奋斗。', '2019-05-03 19:53:21']
['楚蝶君', '不否认有一些逻辑上的bug，但所有都串起来了，大家的归宿不算完美，但来之不易，最后的最后，致敬永远的钢铁侠', '2019-05-03 19:53:15']
['只丶为你', '非常劲爆，超级好看', '2019-05-03 19:53:09']
['关月疯', '便是爱你三千遍', '2019-05-03 19:53:08']
['活人不死', '差点就被整哭了', '2019-05-03 19:53:06']
['赞祺', '太好看了。（感谢漫威）', '2019-05-03 19:53:05']
0
['萎靡丶笑看沉浮', '版权归作者所有，任何形式转载请联系作者。\r\n作者：ZS谬论（来自豆瓣）\r\n来源：https://movie.douban.com/review/10150773/\r\n\n\n       场面宏大，内心毫无波澜。\n\n       好奇洛基拿到魔方以后会怎样。说真的前几部已经忘光了。\n\n       群像的坏处在这里吧，我实话说是看到朋友微博发的美队盾牌强烈想看来着。不过想想这种片并不是我的菜啊。\n\n       最难过大概是锤神回到过去跟妈妈对话那里？他的逃避现实非常感染人。而且有一瞬间让我想起权游。美队回到过去的一支舞也很带感。', '2019-05-03 19:53:42']
['不长心的豆豆', '九头蛇万岁！', '2019-05-03 19:53:38']
['wTH342155159', '影院的眼镜看字幕有些模糊，但剧情不错', '2019-05-03 19:53:37']
['随性', '爱你三千遍，', '2019-05-03 19:53:36']
['sYf615968708', '舒服观影，不一样的体验', '2019-05-03 19:53:35']
['お王峰跃', '哭成了傻子，黑寡，美队，钢铁侠。虽然，，，，，，但，感谢漫威。通过电影，我，收获了如此大的动力。也祝愿今年6月13号的我的中考可以考好', '2019-05-03 19:53:34']
['UNJ704599288', '好好好好好好', '2019-05-03 19:53:33']
['AyJ692819041', '完美的结局！！', '2019-05-03 19:53:30']
['ZiE308508592', '不好看，看的好累', '2019-05-03 19:53:28']
['闻勇', '这部电影的科幻和结尾都十分完美，也有一些搞笑的地方。即使黑暗很强大，但是正义的英雄永远都会不惜一切去战斗，去阻止，我们也要为了正义一去奋斗。', '2019-05-03 19:53:21']
['楚蝶君', '不否认有一些逻辑上的bug，但所有都串起来了，大家的归宿不算完美，但来之不易，最后的最后，致敬永远的钢铁侠', '2019-05-03 19:53:15']
['只丶为你', '非常劲爆，超级好看', '2019-05-03 19:53:09']
['关月疯', '便是爱你三千遍', '2019-05-03 19:53:08']
['活人不死', '差点就被整哭了', '2019-05-03 19:53:06']
['赞祺', '太好看了。（感谢漫威）', '2019-05-03 19:53:05']
1
['西湖渔筏90', '一般般。简单来讲就是以蚁人的时空穿梭机为线索。把复联3消失的人带回来。花了三个小时看完之后，个人觉得没之前的好\ue412。后面为了把众多复仇者都出场，干脆来个大锅饭。一起来[捂脸]', '2019-05-06 01:23:57']
['🎵', '前面一直托戏', '2019-05-06 01:23:56']
['曹阳阳1203', '哦。。。。。。', '2019-05-06 01:23:40']
['爆浆烤腦花', '复联三没上映的时候我就说\n“钢铁侠要是以后死了我就再也不看漫威任何一部电影”\n复联三是熬过去了\n复联四他死了\n心都碎了', '2019-05-06 01:23:10']
['PPE191755800', '打斗场面消减了很好 结局也不完美 整体还是能够满足的', '2019-05-06 01:22:22']
['玛卡瑞纳兒', '心疼钢铁侠 黑寡妇、 终局之战！不惜一切代价！你们都是最棒的！再见了 我爱你们三千遍！另外我女神绯红美爆了～', '2019-05-06 01:22:00']
['張國松', '加了你投影幕布', '2019-05-06 01:21:38']
['梅仁杏的清照', '了解漫威的都懂 不了解的都在差评区', '2019-05-06 01:20:58']
['krn932006569', '故事讲的太幼稚，一点都不精彩。', '2019-05-06 01:19:38']
['小朋友guai', '看不懂还要买票，买了还是吐血看不懂', '2019-05-06 01:19:35']
['魔神英雄', '钢铁侠！！复联系列只看了钢铁侠', '2019-05-06 01:19:23']
['飞（魑魅魍魎）47', '十年的梦，告一段落了', '2019-05-06 01:17:57']
['njr178363146', '还想在看一次', '2019-05-06 01:17:45']
['infinity崽崽', '此生无悔入漫威', '2019-05-06 01:17:27']
['相信自己', '感觉一般还没有前面好看', '2019-05-06 01:13:26']
2
['🎵', '前面一直托戏', '2019-05-06 01:23:56']
['曹阳阳1203', '哦。。。。。。', '2019-05-06 01:23:40']
['爆浆烤腦花', '复联三没上映的时候我就说\n“钢铁侠要是以后死了我就再也不看漫威任何一部电影”\n复联三是熬过去了\n复联四他死了\n心都碎了', '2019-05-06 01:23:10']
['PPE191755800', '打斗场面消减了很好 结局也不完美 整体还是能够满足的', '2019-05-06 01:22:22']
['玛卡瑞纳兒', '心疼钢铁侠 黑寡妇、 终局之战！不惜一切代价！你们都是最棒的！再见了 我爱你们三千遍！另外我女神绯红美爆了～', '2019-05-06 01:22:00']
['張國松', '加了你投影幕布', '2019-05-06 01:21:38']
['梅仁杏的清照', '了解漫威的都懂 不了解的都在差评区', '2019-05-06 01:20:58']
['krn932006569', '故事讲的太幼稚，一点都不精彩。', '2019-05-06 01:19:38']
['小朋友guai', '看不懂还要买票，买了还是吐血看不懂', '2019-05-06 01:19:35']
['魔神英雄', '钢铁侠！！复联系列只看了钢铁侠', '2019-05-06 01:19:23']
['飞（魑魅魍魎）47', '十年的梦，告一段落了', '2019-05-06 01:17:57']
['njr178363146', '还想在看一次', '2019-05-06 01:17:45']
['infinity崽崽', '此生无悔入漫威', '2019-05-06 01:17:27']
['相信自己', '感觉一般还没有前面好看', '2019-05-06 01:13:26']
['娟', '十年啊……希望有更多精彩的电影🎬', '2019-05-06 01:13:15']
3
