name,type,value,date
2019年1月23日,我在皇宫当巨巨,2,第99001
2009,青之驱魔师,2,第99001
1996/7/1,游戏王,2,第99001
2018,全职法师,2,第99001
2008,滑头鬼之孙,2,第99001
2009,青之驱魔师,3,第98001
1996/7/1,游戏王,3,第98001
2018,全职法师,3,第98001
2008,滑头鬼之孙,3,第98001
2011年,秒速5厘米,3,第98001
1996/7/1,游戏王,4,第97001
2018,全职法师,4,第97001
2008,滑头鬼之孙,4,第97001
2011年,秒速5厘米,4,第97001
2014,粗点心战争,4,第97001
2018,全职法师,5,第96001
2008,滑头鬼之孙,5,第96001
2011年,秒速5厘米,5,第96001
2014,粗点心战争,5,第96001
2019/2/28,因为我是开武器店的大叔,5,第96001
2008,滑头鬼之孙,6,第95001
2011年,秒速5厘米,6,第95001
2014,粗点心战争,6,第95001
2019/2/28,因为我是开武器店的大叔,6,第95001
2007-01-01,偷星九月天,6,第95001
2011年,秒速5厘米,7,第94001
2014,粗点心战争,7,第94001
2019/2/28,因为我是开武器店的大叔,7,第94001
2007-01-01,偷星九月天,7,第94001
2019,我才不会被女孩子欺负呢,7,第94001
2014,粗点心战争,8,第93001
2019/2/28,因为我是开武器店的大叔,8,第93001
2007-01-01,偷星九月天,8,第93001
2019,我才不会被女孩子欺负呢,8,第93001
2018/12/14,如果历史是一群喵,8,第93001
2019/2/28,因为我是开武器店的大叔,9,第92001
2007-01-01,偷星九月天,9,第92001
2019,我才不会被女孩子欺负呢,9,第92001
2018/12/14,如果历史是一群喵,9,第92001
2019年1月11日,好人与卡,9,第92001
2007-01-01,偷星九月天,10,第91001
2019,我才不会被女孩子欺负呢,10,第91001
2018/12/14,如果历史是一群喵,10,第91001
2019年1月11日,好人与卡,10,第91001
2019,Fate/Grand Order 命运——冠位指定 电击漫画短篇集,10,第91001
2019,我才不会被女孩子欺负呢,11,第90001
2018/12/14,如果历史是一群喵,11,第90001
2019年1月11日,好人与卡,11,第90001
2019,Fate/Grand Order 命运——冠位指定 电击漫画短篇集,11,第90001
2019,Fate/Grand Order 命运——冠位指定 COMIC à la carte,11,第90001
2018/12/14,如果历史是一群喵,12,第89001
2019年1月11日,好人与卡,12,第89001
2019,Fate/Grand Order 命运——冠位指定 电击漫画短篇集,12,第89001
2019,Fate/Grand Order 命运——冠位指定 COMIC à la carte,12,第89001
2019年1月26日,我开动物园那些年,12,第89001
2019年1月11日,好人与卡,13,第88001
2019,Fate/Grand Order 命运——冠位指定 电击漫画短篇集,13,第88001
2019,Fate/Grand Order 命运——冠位指定 COMIC à la carte,13,第88001
2019年1月26日,我开动物园那些年,13,第88001
2019,英雄?我早就不当了,13,第88001
2019,Fate/Grand Order 命运——冠位指定 电击漫画短篇集,14,第87001
2019,Fate/Grand Order 命运——冠位指定 COMIC à la carte,14,第87001
2019年1月26日,我开动物园那些年,14,第87001
2019,英雄?我早就不当了,14,第87001
2015,黑色四叶草,14,第87001
2019,Fate/Grand Order 命运——冠位指定 COMIC à la carte,15,第86001
2019年1月26日,我开动物园那些年,15,第86001
2019,英雄?我早就不当了,15,第86001
2015,黑色四叶草,15,第86001
2012-07-01,排球少年!!,15,第86001
2019年1月26日,我开动物园那些年,16,第85001
2019,英雄?我早就不当了,16,第85001
2015,黑色四叶草,16,第85001
2012-07-01,排球少年!!,16,第85001
2006年,妖精的尾巴,16,第85001
2019,英雄?我早就不当了,17,第84001
2015,黑色四叶草,17,第84001
2012-07-01,排球少年!!,17,第84001
2006年,妖精的尾巴,17,第84001
2018,石纪元（Dr.Stone）,17,第84001
2015,黑色四叶草,18,第83001
2012-07-01,排球少年!!,18,第83001
2006年,妖精的尾巴,18,第83001
2018,石纪元（Dr.Stone）,18,第83001
2014年,恋爱禁止的世界,18,第83001
2012-07-01,排球少年!!,19,第82001
2006年,妖精的尾巴,19,第82001
2018,石纪元（Dr.Stone）,19,第82001
2014年,恋爱禁止的世界,19,第82001
2018年12月23日,嫁给一个死太监,19,第82001
2006年,妖精的尾巴,20,第81001
2018,石纪元（Dr.Stone）,20,第81001
2014年,恋爱禁止的世界,20,第81001
2018年12月23日,嫁给一个死太监,20,第81001
2018/11/15,驭灵师,20,第81001
2018,石纪元（Dr.Stone）,21,第80001
2014年,恋爱禁止的世界,21,第80001
2018年12月23日,嫁给一个死太监,21,第80001
2018/11/15,驭灵师,21,第80001
1984-07-01,龙珠,21,第80001
2014年,恋爱禁止的世界,22,第79001
2018年12月23日,嫁给一个死太监,22,第79001
2018/11/15,驭灵师,22,第79001
1984-07-01,龙珠,22,第79001
2019,我的老婆是妲己,22,第79001
2018年12月23日,嫁给一个死太监,23,第78001
2018/11/15,驭灵师,23,第78001
1984-07-01,龙珠,23,第78001
2019,我的老婆是妲己,23,第78001
2018年,勇者死了！因为勇者掉进了我这个村民挖的陷阱里。,23,第78001
2018/11/15,驭灵师,24,第77001
1984-07-01,龙珠,24,第77001
2019,我的老婆是妲己,24,第77001
2018年,勇者死了！因为勇者掉进了我这个村民挖的陷阱里。,24,第77001
2018,我的老婆是伪娘,24,第77001
1984-07-01,龙珠,25,第76001
2019,我的老婆是妲己,25,第76001
2018年,勇者死了！因为勇者掉进了我这个村民挖的陷阱里。,25,第76001
2018,我的老婆是伪娘,25,第76001
1980,魔卡少女樱,25,第76001
2019,我的老婆是妲己,26,第75001
2018年,勇者死了！因为勇者掉进了我这个村民挖的陷阱里。,26,第75001
2018,我的老婆是伪娘,26,第75001
1980,魔卡少女樱,26,第75001
2004-07-01,家庭教师,26,第75001
2018年,勇者死了！因为勇者掉进了我这个村民挖的陷阱里。,27,第74001
2018,我的老婆是伪娘,27,第74001
1980,魔卡少女樱,27,第74001
2004-07-01,家庭教师,27,第74001
2018/12/14,大唐不断网,27,第74001
2018,我的老婆是伪娘,28,第73001
1980,魔卡少女樱,28,第73001
2004-07-01,家庭教师,28,第73001
2018/12/14,大唐不断网,28,第73001
2018年,名侦探柯南 犯人犯泽先生,28,第73001
1980,魔卡少女樱,29,第72001
2004-07-01,家庭教师,29,第72001
2018/12/14,大唐不断网,29,第72001
2018年,名侦探柯南 犯人犯泽先生,29,第72001
1996,犬夜叉（WIDE版）,29,第72001
2004-07-01,家庭教师,30,第71001
2018/12/14,大唐不断网,30,第71001
2018年,名侦探柯南 犯人犯泽先生,30,第71001
1996,犬夜叉（WIDE版）,30,第71001
2019年,名侦探柯南,30,第71001
2018/12/14,大唐不断网,31,第70001
2018年,名侦探柯南 犯人犯泽先生,31,第70001
1996,犬夜叉（WIDE版）,31,第70001
2019年,名侦探柯南,31,第70001
2018年,化物语,31,第70001
2018年,名侦探柯南 犯人犯泽先生,32,第69001
1996,犬夜叉（WIDE版）,32,第69001
2019年,名侦探柯南,32,第69001
2018年,化物语,32,第69001
2019,妄想学生会,32,第69001
1996,犬夜叉（WIDE版）,33,第68001
2019年,名侦探柯南,33,第68001
2018年,化物语,33,第68001
2019,妄想学生会,33,第68001
